language,theme,count
Afrikaans,Social,1
Afrikaans,Law,1
Afrikaans,Entertainment,5
Afrikaans,Technology,2
Afrikaans,People,1
Afrikaans,Science,1
Afrikaans,Environment,1
Afrikaans,Cryptocurrency,1
Arabic,Social,15
Arabic,Law,83
Arabic,Entertainment,105
Arabic,Investing,2
Arabic,Health,44
Arabic,Finance,4
Arabic,People,245
Arabic,Science,26
Arabic,Economy,6
Arabic,Technology,31
Arabic,Environment,60
Arabic,Politics,17
Arabic,Cryptocurrency,9
Arabic,Sports,19
Arabic,Business,1
Belarusian,Entertainment,5
Belarusian,Science,1
Belarusian,People,1
Belarusian,Technology,1
Belarusian,Environment,1
Belarusian,Cryptocurrency,2
Bihari,People,1
Bihari,Technology,1
Bihari,Environment,1
Bengali,Social,5
Bengali,Entertainment,11
Bengali,Health,3
Bengali,Investing,1
Bengali,People,23
Bengali,Economy,2
Bengali,Technology,6
Bengali,Environment,9
Bengali,Politics,2
Bengali,Cryptocurrency,1
Bengali,Sports,2
Catalan,Social,6
Catalan,Law,11
Catalan,Entertainment,34
Catalan,Health,13
Catalan,Finance,1
Catalan,Science,16
Catalan,People,28
Catalan,Economy,2
Catalan,Technology,27
Catalan,Environment,34
Catalan,Politics,4
Catalan,Cryptocurrency,14
Catalan,Sports,22
Catalan,Business,5
Czech,Social,1
Czech,Law,4
Czech,Entertainment,27
Czech,Investing,1
Czech,Health,7
Czech,People,17
Czech,Science,3
Czech,Economy,1
Czech,Technology,3
Czech,Environment,19
Czech,Politics,4
Czech,Cryptocurrency,7
Czech,Sports,4
Chuvash,Environment,1
Welsh,Social,1
Welsh,Entertainment,2
Welsh,Finance,1
Welsh,People,2
Welsh,Science,2
Welsh,Economy,1
Welsh,Technology,2
Welsh,Environment,2
Welsh,Cryptocurrency,2
English,Social,4194
English,Law,3141
English,Entertainment,23067
English,Investing,878
English,Health,4067
English,Finance,941
English,People,37458
English,Science,13841
English,Economy,1835
English,Technology,9135
English,Environment,13853
English,Politics,2168
English,Cryptocurrency,5351
English,Sports,2848
English,Business,1980
Estonian,Social,2
Estonian,Law,3
Estonian,Entertainment,10
Estonian,Health,1
Estonian,Finance,1
Estonian,People,10
Estonian,Science,1
Estonian,Technology,4
Estonian,Environment,6
Estonian,Politics,3
Estonian,Cryptocurrency,11
Estonian,Sports,3
Persian,Social,55
Persian,Law,93
Persian,Entertainment,154
Persian,Investing,8
Persian,Health,86
Persian,Finance,8
Persian,People,676
Persian,Science,296
Persian,Economy,26
Persian,Technology,93
Persian,Environment,289
Persian,Politics,34
Persian,Cryptocurrency,104
Persian,Sports,26
Persian,Business,20
Western Frisian,Social,1
Western Frisian,Entertainment,2
Western Frisian,Science,1
Western Frisian,People,3
Western Frisian,Technology,1
Galician,Social,7
Galician,Law,13
Galician,Entertainment,8
Galician,Health,3
Galician,Investing,1
Galician,People,33
Galician,Science,3
Galician,Economy,1
Galician,Technology,2
Galician,Environment,13
Galician,Politics,1
Galician,Cryptocurrency,1
Galician,Sports,1
Gujarati,Entertainment,69
Gujarati,People,5
Gujarati,Technology,2
Gujarati,Environment,2
Gujarati,Politics,1
Gujarati,Cryptocurrency,1
Hebrew,Social,2
Hebrew,Law,3
Hebrew,Entertainment,29
Hebrew,Health,3
Hebrew,Science,18
Hebrew,People,70
Hebrew,Economy,1
Hebrew,Technology,7
Hebrew,Environment,14
Hebrew,Politics,5
Hebrew,Cryptocurrency,19
Hebrew,Business,1
Hebrew,Sports,3
Haitian,Environment,1
Interlingua,Entertainment,8
Interlingua,Health,2
Interlingua,People,1
Interlingua,Technology,3
Interlingua,Environment,2
Interlingua,Cryptocurrency,1
Indonesian,Social,63
Indonesian,Law,32
Indonesian,Entertainment,281
Indonesian,Investing,10
Indonesian,Health,83
Indonesian,Finance,14
Indonesian,People,432
Indonesian,Science,190
Indonesian,Economy,28
Indonesian,Technology,124
Indonesian,Environment,711
Indonesian,Politics,20
Indonesian,Cryptocurrency,52
Indonesian,Business,52
Indonesian,Sports,27
Icelandic,Entertainment,9
Icelandic,People,1
